# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "Ldear_hifionly_primary_AFPIII.gff" "-o" "Ld_R1_liver_cDNA_trimmed_AFP_counts.txt" "-t" "gene" "-g" "gene_id" "/hb/home/snbogan/PolarFish/RNAseq/Ldear_run1/alignments/Ld_R1_liver_pass_cutadapt_minimap2_cDNA.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/hb/home/snbogan/PolarFish/RNAseq/Ldear_run1/alignments/Ld_R1_liver_pass_cutadapt_minimap2_cDNA.sorted.bam
1	ptg000084l	11583317	11583754	+	438	60407
2	ptg000084l	11722903	11723331	+	429	7801
3	ptg000084l	11838538	11838966	+	429	72836
4	ptg000084l	11479734	11480162	+	429	92959
5	ptg000084l	11767804	11768231	+	428	84715
6	ptg000084l	11786281	11786709	+	429	108838
7	ptg000084l	11685300	11685728	+	429	98807
8	ptg000084l	11512441	11512869	+	429	96270
9	ptg000084l	11619913	11620341	+	429	43479
10	ptg000084l	11548109	11556686	+	8578	109619
11	ptg000084l	11592861	11601219	+	8359	119122
12	ptg000084l	11454324	11462908	+	8585	109391
13	ptg000084l	11695382	11695810	+	429	67552
14	ptg000084l	11758381	11758809	+	429	49430
15	ptg000084l	11609455	11609883	+	429	64644
16	ptg000084l	11846827	11847255	+	429	43116
17	ptg000084l	11471440	11471868	+	429	65638
18	ptg000084l	11712666	11713094	+	429	71512
19	ptg000084l	11704365	11704793	+	429	42062
20	ptg000084l	11520568	11520996	+	429	12941
21	ptg000084l	11498309	11498737	+	429	64938
22	ptg000084l	11831296	11831724	+	429	73788
23	ptg000084l	11366874	11367302	+	429	65766
24	ptg000084l	11629269	11629697	+	429	84707
25	ptg000084l	11822958	11823386	+	429	42662
26	ptg000084l	11531011	11531439	+	429	64186
27	ptg000084l	11487861	11488289	+	429	12863
28	ptg000084l	11573058	11573486	+	429	78336
29	ptg000084l	11375197	11375625	+	429	65371
30	ptg000084l	11794917	11795345	+	429	80418
31	ptg000084l	11394798	11395226	+	429	40608
32	ptg000084l	11775857	11776285	+	429	78795
33	ptg000084l	11358504	11359158	+	655	671
