# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "Ldear_hifionly_primary_AFPIII.gff" "-o" "Ld_R1_liver_cDNA_trimmed_unique_AFP_counts.txt" "-t" "gene" "-g" "gene_id" "/hb/home/snbogan/PolarFish/RNAseq/Ldear_run1/alignments/Ld_R1_liver_pass_cutadapt_minimap2_cDNA_sorted_unique.bam" 
Geneid	Chr	Start	End	Strand	Length	/hb/home/snbogan/PolarFish/RNAseq/Ldear_run1/alignments/Ld_R1_liver_pass_cutadapt_minimap2_cDNA_sorted_unique.bam
1	ptg000084l	11583317	11583754	+	438	33660
2	ptg000084l	11722903	11723331	+	429	940
3	ptg000084l	11838538	11838966	+	429	4441
4	ptg000084l	11479734	11480162	+	429	2762
5	ptg000084l	11767804	11768231	+	428	1740
6	ptg000084l	11786281	11786709	+	429	3060
7	ptg000084l	11685300	11685728	+	429	1624
8	ptg000084l	11512441	11512869	+	429	2944
9	ptg000084l	11619913	11620341	+	429	2665
10	ptg000084l	11548109	11556686	+	8578	1055
11	ptg000084l	11592861	11601219	+	8359	1212
12	ptg000084l	11454324	11462908	+	8585	1147
13	ptg000084l	11695382	11695810	+	429	823
14	ptg000084l	11758381	11758809	+	429	5316
15	ptg000084l	11609455	11609883	+	429	872
16	ptg000084l	11846827	11847255	+	429	12351
17	ptg000084l	11471440	11471868	+	429	864
18	ptg000084l	11712666	11713094	+	429	1094
19	ptg000084l	11704365	11704793	+	429	1770
20	ptg000084l	11520568	11520996	+	429	513
21	ptg000084l	11498309	11498737	+	429	802
22	ptg000084l	11831296	11831724	+	429	1120
23	ptg000084l	11366874	11367302	+	429	1111
24	ptg000084l	11629269	11629697	+	429	3050
25	ptg000084l	11822958	11823386	+	429	1887
26	ptg000084l	11531011	11531439	+	429	809
27	ptg000084l	11487861	11488289	+	429	426
28	ptg000084l	11573058	11573486	+	429	1101
29	ptg000084l	11375197	11375625	+	429	1704
30	ptg000084l	11794917	11795345	+	429	2019
31	ptg000084l	11394798	11395226	+	429	1932
32	ptg000084l	11775857	11776285	+	429	1046
33	ptg000084l	11358504	11359158	+	655	156
